gal,tipo,hu1,hu2,hu3,hu4,hu5,hu6,hu7
K0603,Scd,0.162311313703,0.00058926022644,0.000171379199676,0.000103062198208,-2.06096775569e-09,5.52672157542e-07,-9.41742313993e-10
K0606,Sd,0.208832401221,0.01767307651,0.000451899418105,0.000439321773259,2.75968447849e-09,-3.71295586261e-06,5.95253771632e-09
K0607,S0,0.265315075579,0.00949358434339,2.08721658644e-05,0.00163834146709,7.89758235749e-08,4.81602747526e-05,4.36703916998e-08
K0608,Sbc,0.168556409135,0.000957571319325,0.000103231070925,6.59994507089e-05,-5.29935797984e-09,-9.03055986785e-07,2.93503746386e-10
K0609,Sc,0.284039705021,0.0515094686673,3.61420460286e-05,2.61487507386e-06,2.02007657701e-11,3.74179436061e-07,-1.099120888e-11
K0610,Sb,0.268849752931,0.0436250155673,0.000658168229233,0.000639408813073,-1.6870437953e-09,-5.60067324611e-06,-9.48889938988e-09
K0611,Sbc,0.16459713554,0.00118515155384,0.00020540810499,0.000171657982321,-2.26867308269e-10,4.74667194836e-07,6.2437536607e-10
K0612,E6,0.262400270451,0.00221755620448,0.00017708765989,0.00241197837432,1.42006118689e-07,3.18970003314e-05,-2.76023280829e-07
K0630,Sbc,0.165358889849,0.00100870128479,0.000379572996743,0.000137006338635,-1.11441779125e-09,-1.14126860008e-07,-1.10973441923e-10
K0633,E0,0.18533763952,0.000357642766548,0.000507048750519,0.000105175308467,-6.28076879917e-09,-2.86717698217e-07,-2.65960344885e-09
K0634,Sab,0.167631527175,7.41777327045e-05,7.16470242111e-05,0.000136323739779,-1.08077488984e-10,-2.99293326582e-08,1.18557637619e-09
K0652,Scd,0.345419417857,0.09080554472,0.00963794194873,0.00772050613486,-1.21705148794e-06,0.000173945236,3.90354380249e-06
K0657,Sdm,0.168975168971,0.0013632288387,0.000758853265999,0.000197441637518,-8.67780902539e-12,3.67882609853e-09,1.01093739259e-12
K0663,Sab,0.209471611189,0.0143082112558,0.00604233041429,0.00580398023445,6.21040201147e-08,-7.65178529221e-05,7.90174651998e-07
